 o, o,1
 e, f,0.775
 c, c,1
 t, t,0.997
 i, i,0.988
 o, o,1
 n, n,1
 s, g,0.839
 r, r,1
 o, o,0.994
 j, d,0.963
 e, e,1
 c, e,1
 t, p,0.537
 i, r,1
 o, o,1
 n, d,0.894
 s, e,0.481
 r, r,0.911
 o, m,0.996
 j, j,1
 e, m,0.958
 c, m,0.924
 t, t,0.882
 i, r,0.52
 o, m,0.557
 n, m,0.986
 s, m,0.829
 r, r,0.739
 o, o,1
 j, j,1
 e, e,0.999
 c, c,1
 t, t,0.999
 i, i,0.999
 o, m,0.611
 n, n,1
 s, s,0.915
 r, r,0.826
 o, o,1
 j, j,0.991
 e, e,0.98
 c, e,0.517
 t, b,0.675
 i, i,0.999
 o, o,0.957
 n, w,0.985
 s, s,0.29
 r, r,0.986
 o, a,0.628
 j, z,0.63
 e, e,0.94
 c, a,0.951
 t, t,0.969
 i, l,0.826
 o, o,1
 n, n,0.998
 s, m,0.599
 r, l,0.727
 o, z,0.998
 j, j,1
 e, c,0.999
 c, c,0.999
 t, k,1
 i, i,1
 o, z,0.999
 n, m,0.969
 s, s,1
 r, s,0.716
 o, w,0.793
 j, j,0.999
 e, o,0.959
 c, m,0.916
 t, h,0.645
 i, h,0.501
 o, m,0.992
 n, m,0.946
 s, s,1
 r, r,0.971
 o, o,0.99
 j, j,1
 e, e,1
 c, c,0.99
 t, l,0.995
 i, i,0.941
 o, a,0.439
 n, m,1
 s, s,0.997
 r, l,0.992
 o, o,1
 j, j,1
 e, p,1
 c, c,0.995
 t, l,0.536
 i, l,0.789
 o, o,1
 n, n,0.611
 s, s,0.987
 r, r,0.981
 o, o,0.857
 j, j,0.993
 e, e,0.961
 c, c,1
 t, d,0.999
 i, r,0.845
 o, v,1
 n, u,0.621
 s, q,0.495
 r, c,0.838
 o, o,1
 j, o,0.997
 e, e,1
 c, c,1
 t, t,1
 i, l,0.975
 o, o,1
 n, o,0.829
 s, s,0.986
 r, r,0.985
 o, o,1
 j, j,1
 e, e,0.996
 c, c,0.995
 t, t,1
 i, j,1
 o, o,0.947
 n, n,0.958
 s, g,0.997
 r, p,0.992
 o, o,1
 j, i,1
 e, e,0.942
 c, c,1
 t, l,1
 i, i,0.991
 o, g,0.514
 n, n,0.964
 s, c,0.961
 r, a,0.995
 o, o,1
 j, s,0.993
 e, g,0.921
 c, c,1
 t, r,0.544
 i, y,0.969
 o, o,1
 n, w,1
 s, s,0.999
 r, r,0.841
 o, g,0.639
 j, l,0.822
 e, z,0.999
 c, p,1
 t, t,0.576
 i, i,1
 o, o,1
 n, u,0.997
 s, q,0.691
 r, c,0.69
 o, a,0.998
 j, i,0.977
 e, e,0.999
 c, c,0.998
 t, e,0.985
 i, i,1
 o, o,1
 n, n,0.999
 s, s,0.942
 r, r,1
 o, a,0.529
 j, g,0.756
 e, e,0.986
 c, m,1
 t, t,0.999
 i, i,0.996
 o, o,1
 n, k,0.952
 s, a,0.886
 r, e,0.856
 o, o,1
 j, j,1
 e, p,0.849
 c, c,0.999
 t, j,0.951
 i, i,0.997
 o, o,1
 n, a,0.994
 s, f,0.993
 r, r,0.996
 o, o,1
 j, j,1
 e, e,0.986
 c, c,1
 t, t,1
 i, i,0.955
 o, o,1
 n, n,0.978
 s, s,1
 r, r,1
 o, o,0.998
 j, j,1
 e, e,0.95
 c, c,0.997
 t, z,0.984
 i, i,0.984
 o, o,1
 n, u,0.985
 s, q,0.722
 r, r,0.978
 o, m,0.727
 j, b,0.515
 e, e,0.961
 c, c,1
 t, t,0.973
 i, i,1
 o, o,1
 n, n,0.997
 s, q,0.619
 r, r,0.989
 o, g,1
 j, i,0.995
 e, e,0.999
 c, c,1
 t, i,0.998
 i, c,0.78
 o, g,0.965
 n, n,1
 s, s,1
 r, r,1
 o, d,0.67
 j, i,0.954
 e, p,0.618
 c, c,1
 t, t,1
 i, i,0.915
 o, o,0.998
 n, n,0.969
 s, a,0.982
 r, r,0.721
 o, o,1
 j, j,0.964
 e, z,0.497
 c, e,0.715
 t, l,0.928
 i, i,0.809
 o, n,0.714
 n, n,0.94
 s, s,0.993
 r, r,0.992
 o, m,0.966
 j, j,1
 e, e,0.979
 c, c,0.996
 t, t,0.737
 i, i,0.989
 o, o,0.761
 n, m,0.976
 s, s,1
 r, r,0.998
 o, o,1
 j, i,0.75
 e, a,0.556
 c, c,0.543
 t, t,1
 i, i,0.97
 o, o,1
 n, m,0.956
 s, s,1
 r, r,0.999
 o, o,0.999
 j, i,0.674
 e, e,1
 c, c,0.999
 t, t,1
 i, i,1
 o, o,1
 n, n,1
 s, s,0.972
 r, r,0.972
 o, o,1
 j, j,1
 e, e,0.961
 c, c,0.999
 t, t,1
 i, l,0.998
 o, o,1
 n, a,0.945
 s, s,1
 r, n,0.603
 o, e,0.983
 j, j,0.998
 e, e,0.997
 c, c,0.699
 t, z,0.723
 i, i,0.988
 o, o,1
 n, n,1
 s, s,1
 r, r,1
 o, o,0.994
 j, j,1
 e, k,0.999
 c, c,1
 t, t,1
 i, i,0.899
 o, o,1
 n, n,1
 s, s,1
 r, r,0.999
 o, a,0.799
 j, j,1
 e, e,0.66
 c, r,0.433
 t, v,0.648
 i, r,1
 o, o,1
 n, m,1
 s, g,0.911
 r, r,1
 o, o,1
 j, i,0.896
 e, e,0.996
 c, c,1
 t, l,0.996
 i, i,0.993
 o, o,1
 n, g,0.737
 s, s,1
 r, r,1
 o, o,0.569
 j, j,1
 e, e,0.668
 c, c,1
 t, t,0.865
 i, i,0.99
 o, o,1
 n, n,0.887
 s, s,0.431
 r, a,0.89
 o, g,1
 j, s,0.999
 e, e,0.998
 c, c,0.764
 t, t,0.981
 i, a,0.991
 o, o,1
 n, w,0.9
 s, s,1
 r, r,1
 o, o,1
 j, j,1
 e, e,0.764
 c, c,0.997
 t, t,0.999
 i, i,0.98
 o, o,1
 n, n,0.999
 s, s,0.936
 r, p,0.999
 o, o,0.998
 j, i,0.993
 e, o,0.965
 c, c,1
 t, f,0.624
 i, l,0.912
 o, o,1
 n, n,0.98
 s, s,0.989
 r, r,0.674
 o, o,1
 j, j,1
 e, e,0.688
 c, a,0.781
 t, t,0.986
 i, i,0.999
 o, o,1
 n, n,0.942
 s, s,1
 r, r,0.997
 o, o,1
 j, z,0.67
 e, e,0.997
 c, c,1
 t, t,1
 i, i,1
 o, o,1
 n, n,0.581
 s, s,0.868
 r, n,0.524
 o, o,1
 j, j,1
 e, e,0.996
 c, o,0.942
 t, t,0.995
 i, i,0.997
 o, o,1
 n, n,1
 s, s,0.95
 r, p,0.732
 o, o,1
 j, j,1
 e, a,0.996
 c, c,0.999
 t, t,0.864
 i, j,0.754
 o, o,0.586
 n, n,0.999
 s, o,0.961
 r, c,0.978
 o, m,0.515
 j, j,1
 e, z,0.773
 c, c,0.987
 t, t,0.535
 i, i,0.978
 o, o,0.982
 n, n,0.975
 s, s,0.991
 r, t,0.976
 o, o,1
 j, l,0.977
 e, a,0.86
 c, w,0.828
 t, t,1
 i, h,0.624
 o, o,0.999
 n, a,0.967
 s, g,0.789
 r, z,0.747
 o, o,1
 j, j,1
 e, e,0.87
 c, c,1
 t, d,0.868
 i, i,0.987
 o, o,1
 n, n,1
 s, s,0.977
 r, r,0.979
 o, a,0.83
 j, j,0.977
 e, a,0.991
 c, c,0.809
 t, t,0.997
 i, r,0.946
 o, m,0.695
 n, n,0.96
 s, a,0.611
 r, r,0.996
 o, o,1
 j, i,1
 e, f,0.414
 c, c,0.996
 t, t,1
 i, i,0.992
 o, o,1
 n, n,1
 s, s,0.699
 r, k,0.759
 o, o,1
 j, z,0.947
 e, e,0.97
 c, c,1
 t, m,0.908
 i, l,1
 o, o,1
 n, v,0.999
 s, s,1
 r, r,0.941
 o, o,1
 j, d,0.941
 e, r,0.652
 c, c,1
 t, t,1
 i, i,1
 o, o,1
 n, n,1
 s, x,0.961
 r, r,0.981
 o, o,1
 j, d,0.991
 e, a,0.927
 c, c,0.964
 t, t,0.997
 i, i,1
 o, o,0.967
 n, n,1
 s, z,0.728
 r, r,1
 o, o,1
 j, j,1
 e, e,0.982
 c, c,0.996
 t, d,0.512
 i, i,0.998
 o, o,1
 n, n,0.888
 s, g,0.998
 r, p,0.997
 o, o,1
 j, j,0.965
 e, e,0.999
 c, c,1
 t, t,0.972
 i, i,0.701
 o, o,0.999
 n, n,0.999
 s, s,1
 r, r,0.916
 o, o,0.996
 j, j,1
 e, e,0.999
 c, c,0.996
 t, t,0.755
 i, i,0.924
 o, o,1
 n, n,0.977
 s, s,1
 r, r,0.996
 o, o,1
 j, j,0.953
 e, e,0.473
 c, c,1
 t, t,0.934
 i, i,0.999
 o, a,0.999
 n, n,0.925
 s, z,0.958
 r, r,0.605
 o, a,0.987
 j, j,1
 e, a,0.97
 c, m,0.981
 t, a,0.757
 i, r,0.727
 o, a,0.604
 n, m,0.963
 s, z,0.837
 r, r,1
 o, o,1
 j, j,1
 e, m,0.94
 c, a,0.904
 t, v,0.781
 i, i,1
 o, m,0.694
 n, m,0.983
 s, z,0.592
 r, m,0.923
 o, o,1
 j, v,0.821
 e, e,0.999
 c, e,0.543
 t, i,0.621
 i, r,0.998
 o, o,1
 n, n,0.967
 s, s,1
 r, r,1
 o, o,1
 j, j,1
 e, e,0.845
 c, a,0.97
 t, t,1
 i, l,0.988
 o, o,1
 n, n,1
 s, s,1
 r, p,1
 o, o,1
 j, i,0.994
 e, e,0.998
 c, c,1
 t, t,1
 i, i,0.958
 o, o,1
 n, n,0.926
 s, g,0.765
 r, r,1
 o, o,0.999
 j, j,1
 e, e,0.999
 c, e,0.639
 t, t,1
 i, i,0.996
 o, o,1
 n, n,0.675
 s, s,0.779
 r, r,0.99
 o, o,0.839
 j, d,1
 e, e,1
 c, a,0.942
 t, t,0.998
 i, l,0.995
 o, o,1
 n, n,1
 s, a,0.497
 r, t,1
 o, k,0.827
 j, j,0.898
 e, e,0.987
 c, u,0.84
 t, x,0.999
 i, x,0.683
 o, o,1
 n, u,0.984
 s, a,0.994
 r, f,0.999
 o, o,0.929
 j, i,0.575
 e, c,1
 c, c,0.922
 t, t,0.895
 i, i,0.99
 o, g,1
 n, n,0.978
 s, s,0.969
 r, r,0.936
 o, o,0.999
 j, j,1
 e, d,0.999
 c, c,1
 t, t,0.578
 i, i,0.911
 o, o,1
 n, m,0.959
 s, g,0.989
 r, r,1
 o, o,0.986
 j, j,1
 e, e,1
 c, c,1
 t, t,1
 i, i,0.989
 o, g,0.95
 n, n,1
 s, g,0.854
 r, z,0.683
 o, o,1
 j, i,1
 e, p,0.996
 c, p,0.983
 t, t,0.999
 i, i,0.997
 o, o,1
 n, h,0.939
 s, s,0.999
 r, c,0.936
 o, e,0.574
 j, j,1
 e, e,0.534
 c, q,0.997
 t, t,1
 i, i,0.99
 o, o,0.879
 n, m,0.999
 s, s,0.999
 r, r,1
 o, u,0.573
 j, j,0.811
 e, e,0.977
 c, c,0.999
 t, h,0.996
 i, l,0.789
 o, m,0.992
 n, m,1
 s, s,0.579
 r, r,0.54
 o, o,1
 j, g,0.936
 e, p,0.769
 c, c,0.998
 t, t,1
 i, l,0.789
 o, o,1
 n, n,0.998
 s, o,0.987
 r, p,0.963
 o, o,0.747
 j, j,1
 e, e,0.601
 c, c,1
 t, z,0.586
 i, i,0.572
 o, o,0.976
 n, n,1
 s, s,1
 r, p,0.846
 o, o,1
 j, j,0.997
 e, e,1
 c, c,0.999
 t, t,0.748
 i, j,0.886
 o, o,1
 n, o,1
 s, b,0.613
 r, r,0.862
 o, o,1
 j, j,1
 e, e,0.83
 c, c,1
 t, t,1
 i, i,0.987
 o, o,1
 n, n,1
 s, s,0.559
 r, f,1
 o, o,0.952
 j, j,1
 e, e,1
 c, c,0.999
 t, t,1
 i, i,0.953
 o, o,1
 n, n,0.822
 s, s,0.976
 r, r,1
 o, g,0.734
 j, i,1
 e, e,1
 c, a,0.913
 t, t,1
 i, i,1
 o, o,0.852
 n, n,1
 s, o,0.787
 r, c,0.552
 o, a,0.999
 j, j,1
 e, e,0.983
 c, c,1
 t, t,0.998
 i, i,0.997
 o, o,0.995
 n, n,0.841
 s, s,0.993
 i, y,0.998
 d, a,0.992
 d, z,0.715
 i, i,0.996
 n, a,0.975
 g, o,0.967
 i, p,0.578
 d, d,1
 d, d,0.995
 i, t,0.585
 n, n,0.966
 g, g,0.798
 i, i,1
 d, d,1
 d, d,0.995
 i, l,0.881
 n, n,0.997
 g, g,1
 i, i,0.997
 d, d,1
 d, d,1
 i, r,0.867
 n, n,1
 g, g,1
 i, i,1
 d, d,1
 d, d,1
 i, i,0.954
 n, n,0.949
 g, v,0.751
 i, i,0.999
 d, d,1
 d, d,1
 i, k,0.774
 n, z,1
 g, g,0.939
 i, i,0.992
 d, d,1
 d, d,0.99
 i, l,0.994
 n, m,0.596
 g, g,1
 i, i,0.997
 d, d,1
 d, v,0.891
 i, r,1
 n, m,0.985
 g, o,0.994
 i, i,0.879
 d, d,1
 d, d,0.999
 i, i,0.999
 n, g,0.997
 g, g,0.997
 i, l,0.954
 d, d,1
 d, d,1
 i, j,0.975
 n, n,0.789
 g, g,0.729
 i, i,0.912
 d, d,1
 d, d,1
 i, i,0.806
 n, n,0.998
 g, g,1
 i, i,0.999
 d, j,0.793
 d, d,1
 i, i,0.995
 n, n,0.998
 g, g,1
 i, l,0.789
 d, d,1
 d, g,0.863
 i, i,0.996
 n, m,0.985
 g, g,0.657
 i, b,0.995
 d, d,1
 d, d,1
 i, l,0.954
 n, u,0.955
 g, o,1
 i, i,0.974
 d, d,1
 d, d,1
 i, i,0.995
 n, m,0.993
 g, g,0.905
 i, l,0.789
 d, j,1
 d, d,0.98
 i, i,0.996
 n, o,0.993
 g, h,0.927
 i, i,0.981
 d, d,1
 d, d,1
 i, i,1
 n, a,0.873
 g, l,0.5
 i, l,0.789
 d, d,0.998
 d, d,1
 i, l,0.789
 n, n,0.703
 g, t,0.948
 i, i,0.957
 d, d,1
 d, d,0.992
 i, i,0.996
 n, o,0.998
 g, z,0.546
 i, l,0.528
 d, d,0.993
 d, d,1
 i, i,0.985
 n, n,0.948
 g, g,0.772
 i, l,0.992
 d, a,0.961
 d, a,1
 i, i,0.946
 n, m,0.992
 g, g,0.998
 i, j,0.997
 d, a,1
 d, a,1
 i, j,0.998
 n, m,0.95
 g, g,0.947
 i, i,0.999
 d, d,1
 d, d,1
 i, i,1
 n, n,0.846
 g, g,1
 i, i,0.999
 d, d,1
 d, d,1
 i, l,0.864
 n, m,0.992
 g, o,0.52
 i, l,0.789
 d, d,1
 d, x,0.818
 i, i,0.995
 n, m,0.56
 g, u,0.817
 i, i,0.998
 d, d,0.987
 d, d,0.999
 i, v,0.758
 n, m,0.993
 g, e,0.759
 i, i,0.96
 d, z,0.993
 d, d,1
 i, l,0.871
 n, m,0.927
 g, g,1
 i, i,0.999
 d, d,1
 d, d,1
 i, i,0.998
 n, k,0.983
 g, y,0.619
 i, i,0.552
 d, d,1
 d, d,1
 i, i,0.745
 n, n,0.981
 g, g,1
 i, i,1
 d, b,0.979
 d, b,0.997
 i, i,1
 n, n,1
 g, g,1
 i, i,0.994
 d, d,1
 d, d,1
 i, i,1
 n, n,0.947
 g, p,0.349
 i, i,0.999
 d, d,1
 d, d,1
 i, i,0.632
 n, n,0.721
 g, o,0.999
 i, i,1
 d, v,0.748
 d, d,0.989
 i, i,0.997
 n, n,0.98
 g, g,1
 i, i,1
 d, a,0.918
 d, a,1
 i, k,0.796
 n, m,0.944
 g, g,0.995
 i, i,0.969
 d, d,1
 d, d,1
 i, i,0.996
 n, n,0.888
 g, g,1
 i, i,1
 d, d,1
 d, a,0.964
 i, i,0.703
 n, m,0.991
 g, d,0.994
 i, l,1
 d, d,0.973
 d, d,0.817
 i, i,1
 n, n,0.636
 g, g,1
 i, i,0.981
 d, d,1
 d, d,1
 i, i,0.998
 n, n,1
 g, o,0.712
 i, l,1
 d, g,0.886
 d, g,0.97
 i, i,0.884
 n, w,1
 g, a,0.982
 i, i,0.975
 d, d,0.843
 d, d,1
 i, i,1
 n, m,0.729
 g, d,0.556
 i, i,0.999
 d, d,1
 d, d,0.63
 i, i,0.905
 n, n,1
 g, g,1
 i, l,1
 d, d,1
 d, d,1
 i, l,0.789
 n, g,0.993
 g, g,0.996
 i, i,0.957
 d, d,0.735
 d, d,1
 i, i,0.999
 n, n,0.998
 g, g,1
 i, l,1
 d, d,1
 d, d,1
 i, i,0.99
 n, o,1
 g, g,1
 i, l,0.789
 d, d,1
 d, d,1
 i, i,0.887
 n, n,0.99
 g, g,0.706
 i, i,0.702
 d, d,1
 d, d,1
 i, y,0.902
 n, d,1
 g, d,0.731
 i, i,0.939
 d, u,0.99
 d, u,0.849
 i, r,0.999
 n, n,0.715
 g, o,0.995
 i, l,0.997
 d, u,0.612
 d, d,0.993
 i, i,0.959
 n, n,1
 g, p,0.998
 i, i,0.965
 d, d,1
 d, d,1
 i, i,0.994
 n, n,0.868
 g, w,0.575
 i, j,0.986
 d, d,1
 d, d,1
 i, i,1
 n, m,0.999
 g, q,0.729
 i, i,0.801
 d, j,0.979
 d, d,0.535
 i, i,0.914
 n, m,1
 g, g,0.999
 i, r,0.666
 d, d,1
 d, d,1
 i, c,1
 n, m,0.99
 g, g,0.983
 i, h,0.951
 d, b,0.994
 d, b,1
 i, j,0.957
 n, n,0.998
 g, q,0.999
 i, i,0.984
 d, z,0.646
 d, k,0.986
 i, h,0.944
 n, w,0.853
 g, h,0.726
 i, b,0.825
 d, j,1
 d, j,0.701
 i, i,0.994
 n, m,0.876
 g, s,0.643
 i, i,1
 d, d,1
 d, d,1
 i, i,1
 n, n,0.999
 g, g,0.899
 i, i,1
 d, d,1
 d, d,1
 i, i,0.97
 n, m,0.999
 g, s,1
 i, i,0.887
 d, d,1
 d, d,1
 i, l,0.641
 n, o,0.91
 g, g,0.938
 i, r,0.939
 d, d,0.987
 d, e,0.528
 i, i,0.811
 n, n,1
 g, g,0.967
 i, i,0.999
 d, q,0.868
 d, b,0.814
 i, i,1
 n, a,0.996
 g, d,1
 i, l,0.999
 d, b,0.713
 d, g,1
 i, l,0.986
 n, w,1
 g, u,0.999
 i, i,0.964
 d, d,1
 d, d,1
 i, i,1
 n, k,0.952
 g, d,0.768
 i, i,0.872
 d, b,0.766
 d, b,0.61
 i, i,0.996
 n, n,0.808
 g, q,0.513
 i, i,0.998
 d, d,0.889
 d, z,0.97
 i, i,0.996
 n, n,1
 g, g,0.998
 i, i,0.985
 d, d,0.926
 d, d,0.77
 i, i,1
 n, n,0.985
 g, t,0.843
 i, i,0.975
 d, o,1
 d, o,1
 i, i,0.961
 n, a,0.615
 g, d,0.867
 i, i,0.966
 d, d,0.981
 d, d,1
 i, l,0.893
 n, n,0.995
 g, z,0.554
 i, i,0.995
 d, d,1
 d, d,1
 i, i,0.985
 n, n,0.848
 g, g,0.991
 i, j,0.507
 d, i,0.528
 d, j,0.712
 i, i,0.979
 n, w,0.81
 g, g,0.889
 i, l,0.771
 d, d,1
 d, d,0.813
 i, i,1
 n, o,1
 g, v,0.508
 i, i,0.923
 d, d,1
 d, d,1
 i, l,0.693
 n, n,0.993
 g, g,1
 i, i,1
 d, d,1
 d, d,1
 i, c,0.551
 n, n,0.967
 g, q,0.998
 i, l,0.999
 d, d,1
 d, d,0.997
 i, i,0.733
 n, o,0.51
 g, o,0.823
 i, i,0.615
 d, d,1
 d, d,1
 i, i,0.974
 n, o,0.715
 g, a,0.677
 i, i,0.817
 d, b,0.825
 d, d,0.962
 i, i,0.99
 n, w,0.669
 g, g,1
 i, i,0.997
 d, d,1
 d, d,1
 i, i,0.984
 n, n,1
 g, g,1
 i, l,0.598
 d, z,0.659
 d, w,0.527
 i, r,0.945
 n, w,0.879
 g, y,0.918
 i, i,0.995
 d, d,1
 d, d,1
 i, i,0.997
 n, n,1
 g, y,0.573
 i, i,0.994
 d, d,0.545
 d, d,1
 i, i,0.757
 n, n,1
 g, g,1
 i, i,0.999
 d, v,0.617
 d, v,0.897
 i, y,0.64
 n, z,0.978
 g, g,1
 i, i,0.987
 d, d,1
 d, d,1
 i, i,0.934
 n, n,1
 g, t,0.849
 i, i,0.999
 d, d,0.995
 d, d,0.92
 i, i,0.805
 n, n,1
 g, g,0.951
 i, r,1
 d, u,0.936
 d, u,0.937
 i, x,0.849
 n, m,0.947
 g, d,0.962
 i, i,0.961
 d, d,1
 d, d,1
 i, i,0.923
 n, n,0.701
 g, g,1
 i, i,0.983
 d, d,1
 d, d,0.999
 i, i,0.994
 n, k,1
 g, p,1
 i, l,1
 d, d,1
 d, d,1
 i, i,0.988
 n, k,0.906
 g, q,1
 i, i,0.997
 d, d,1
 d, d,1
 i, i,0.983
 n, m,0.796
 g, g,1
 i, i,1
 d, d,0.999
 d, j,0.828
 i, i,0.999
 n, w,0.922
 g, o,1
 i, i,0.993
 d, d,1
 d, d,1
 i, i,0.996
 n, o,0.994
 g, g,0.72
 i, t,0.824
 d, d,0.897
 d, d,0.876
 i, a,0.993
 n, x,0.989
 g, a,1
 i, i,1
 d, d,1
 d, d,1
 i, i,0.644
 n, n,1
 g, g,1
 i, i,0.994
 d, d,0.53
 d, d,1
 i, i,0.998
 n, o,1
 g, g,0.721
 i, l,0.978
 d, d,1
 d, d,0.988
 i, i,0.885
 n, n,1
 g, f,0.776
 i, i,0.99
 d, d,1
 d, d,0.995
 i, i,0.997
 n, n,1
 g, g,1
 i, i,1
 d, d,0.986
 d, d,0.996
 i, i,0.996
 n, n,0.95
 g, g,1
 i, i,0.779
 d, d,1
 d, d,1
 i, i,0.992
 n, n,1
 g, g,0.998
 i, l,0.789
 d, l,0.969
 d, i,0.724
 i, l,0.998
 n, n,0.872
 g, o,1
 i, l,0.789
 d, d,0.999
 d, d,1
 i, i,0.963
 n, o,0.729
 g, g,1
 i, l,0.866
 d, d,1
 d, b,0.999
 i, l,0.986
 n, v,0.688
 g, g,1
 i, i,0.998
 d, d,1
 d, d,1
 i, i,0.996
 n, w,0.967
 g, g,1
 i, i,0.93
 d, d,1
 d, d,1
 i, i,0.984
 n, n,0.993
 g, u,0.735
 i, i,0.999
 d, d,1
 d, d,1
 i, i,0.874
 n, n,0.744
 g, g,0.997
 i, i,1
 d, d,0.925
 d, d,0.995
 i, i,1
 n, n,1
 g, d,0.801
 i, l,0.97
 d, z,0.996
 d, z,0.975
 i, i,0.998
 n, w,0.751
 g, z,0.573
 i, i,0.876
 d, d,1
 d, d,1
 i, l,0.998
 n, n,1
 g, g,1
 i, l,0.912
 d, o,1
 d, o,1
 i, l,0.789
 n, n,0.989
 g, a,0.999
 i, i,1
 d, v,0.933
 d, d,1
 i, r,0.665
 n, n,0.774
 g, d,0.88
 i, i,0.997
 d, d,1
 d, d,1
 i, r,1
 n, n,1
 g, g,0.589
 i, i,0.998
 d, d,1
 d, d,1
 i, i,0.996
 n, n,0.535
 g, g,0.994
 i, i,1
 d, d,1
 d, d,0.999
 i, r,0.968
 n, m,0.679
 g, g,0.728
 i, l,1
 d, d,0.524
 d, j,0.999
 i, i,0.887
 n, m,0.999
 g, o,0.764
 i, l,1
 d, d,1
 d, d,1
 i, i,0.996
 n, n,1
 g, g,1
 i, i,0.989
 d, d,1
 d, d,1
 i, i,1
 n, m,0.998
 g, p,0.989
 i, l,0.748
 d, z,0.999
 d, y,0.966
 i, l,1
 n, n,0.938
 g, a,0.996
 i, i,0.999
 d, d,1
 d, d,1
 i, i,1
 n, m,0.77
 g, g,0.999
 i, j,0.937
 d, k,1
 d, k,0.817
 i, i,1
 n, n,0.934
 g, q,0.587
 i, i,0.833
 d, d,1
 d, d,1
 i, i,0.709
 n, n,1
 g, g,1
 i, h,0.989
 d, d,0.439
 d, d,1
 i, i,1
 n, m,0.997
 g, g,0.66
 i, k,0.741
 d, d,1
 d, j,0.775
 i, i,0.936
 n, x,0.651
 g, g,0.91
 i, i,1
 d, d,1
 d, d,1
 i, i,0.993
 n, n,0.844
 g, g,0.983
 i, i,0.994
 d, v,0.624
 d, v,0.764
 i, y,0.999
 n, m,0.702
 g, y,0.931
 i, l,0.789
 d, d,1
 d, d,1
 i, i,0.999
 n, o,0.995
 g, g,1
 i, i,0.887
 d, d,0.689
 d, d,1
 i, l,0.611
 n, n,1
 g, g,0.97
 i, i,0.996
 d, d,1
 d, d,1
 i, l,0.984
 n, n,1
 g, g,1
 i, l,0.924
 d, d,0.982
 d, a,0.629
 i, i,0.981
 n, m,0.963
 g, z,0.995
 i, l,0.998
 d, d,0.933
 d, d,0.682
 i, l,0.789
 n, n,0.998
 g, g,1
 i, j,0.759
 d, d,0.999
 d, d,1
 i, j,1
 n, m,0.999
 g, s,0.655
 i, h,0.885
 d, l,0.902
 d, l,0.78
 i, i,0.832
 n, u,0.765
 g, g,1
 i, i,1
 d, d,1
 d, d,0.915
 i, i,0.917
 n, n,0.996
 g, y,0.972
 i, i,0.985
 d, d,1
 d, d,0.995
 i, i,0.704
 n, n,0.999
 g, g,1
 i, l,0.493
 d, d,1
 d, k,0.571
 i, h,0.598
 n, n,1
 g, g,0.995
 i, i,0.756
 d, d,1
 d, d,0.996
 i, i,0.819
 n, n,1
 g, t,0.799
 i, i,1
 d, j,0.996
 d, j,0.708
 i, i,0.891
 n, m,0.998
 g, j,0.923
 i, i,0.988
 d, d,1
 d, d,1
 i, i,0.993
 n, n,0.862
 g, d,0.924
 i, l,0.56
 d, d,0.352
 d, d,0.761
 i, i,1
 n, u,0.942
 g, y,0.501
 i, i,0.99
 d, a,1
 d, a,0.972
 i, b,0.472
 n, a,0.999
 g, o,0.99
 i, l,1
 d, d,1
 d, d,1
 i, l,0.796
 n, m,0.996
 g, o,0.997
 i, i,0.975
 d, d,1
 d, d,1
 i, l,0.789
 n, n,0.992
 g, g,1
 i, i,0.999
 d, j,1
 d, j,1
 i, i,1
 n, e,0.801
 g, g,0.622
 i, i,0.929
 d, i,0.923
 d, j,0.625
 i, l,0.963
 n, n,0.998
 g, g,0.916
 i, j,0.787
 d, g,0.778
 d, d,0.999
 i, i,0.994
 n, n,0.99
 g, g,1
 i, i,0.988
 d, d,1
 d, d,1
 i, i,1
 n, n,1
 g, g,1
 i, i,0.917
 d, d,1
 d, d,0.999
 i, i,0.941
 n, o,1
 g, g,1
 i, i,0.998
 d, f,0.996
 d, f,0.842
 i, i,0.999
 n, n,0.848
 g, z,0.872
 i, i,0.883
 d, d,1
 d, d,1
 i, i,0.951
 n, n,0.985
 g, g,0.949
 i, r,0.911
 d, w,1
 d, w,1
 i, r,0.999
 n, m,1
 g, m,0.8
 u, u,0.751
 f, f,0.912
 f, f,0.617
 u, w,0.989
 f, l,0.902
 f, f,1
 u, o,0.931
 f, t,0.999
 f, t,0.86
 u, a,1
 f, r,0.996
 f, p,1
 u, w,1
 f, p,0.838
 f, t,0.859
 u, u,1
 f, t,0.986
 f, t,1
 u, u,1
 f, f,0.843
 f, f,1
 u, m,0.851
 f, t,0.995
 f, t,0.992
 u, v,0.911
 f, f,0.929
 f, f,0.993
 u, u,0.999
 f, f,0.965
 f, t,0.996
 u, u,1
 f, p,1
 f, p,0.911
 u, u,0.999
 f, f,0.789
 f, f,0.688
 u, u,1
 f, f,1
 f, f,0.996
 u, u,0.748
 f, f,0.999
 f, f,0.898
 u, u,0.945
 f, t,0.999
 f, t,0.444
 u, u,1
 f, f,0.992
 f, f,0.892
 u, u,1
 f, f,1
 f, r,0.946
 u, o,0.69
 f, p,0.985
 f, f,1
 u, u,0.998
 f, g,0.851
 f, t,0.51
 u, u,0.842
 f, f,0.993
 f, t,0.976
 u, u,1
 f, f,0.994
 f, f,0.99
 u, u,0.984
 f, p,0.998
 f, p,0.881
 u, w,0.792
 f, f,0.999
 f, f,0.826
 u, w,0.998
 f, p,0.699
